"FECHA","MONEDA","COMPRA","VENTA"
"2020.04.14","D",3.374,3.379
"2020.04.14","E",3.658,3.829
"2020.04.15","D",3.388,3.393
"2020.04.15","E",3.168,3.768
"2020.04.16","D",3.56,3.57
"2020.05.01","D",3.376,3.383
"2020.05.01","E",3.469,3.965
"2020.05.02","D",3.376,3.383
"2020.05.02","E",3.469,3.965
"2020.05.03","D",3.376,3.383
"2020.05.03","E",3.469,3.965
"2020.05.04","D",3.376,3.383
"2020.05.04","E",3.469,3.965
"2020.05.05","D",3.383,3.39
"2020.05.05","E",3.635,3.886
"2020.05.06","D",3.388,3.394
"2020.05.06","E",3.647,3.735
"2020.05.07","D",3.403,3.407
"2020.05.07","E",3.591,3.883
"2020.05.08","D",3.404,3.41
"2020.05.08","E",3.676,3.693
"2020.05.09","D",3.394,3.399
"2020.05.09","E",3.644,3.874
"2020.05.10","D",3.394,3.399
"2020.05.10","E",3.644,3.874
"2020.05.11","D",3.394,3.399
"2020.05.11","E",3.644,3.874
"2020.05.12","D",3.419,3.421
"2020.05.12","E",3.654,3.841
"2020.05.13","D",3.421,3.425
"2020.05.13","E",3.597,3.797
"2020.05.14","D",3.434,3.437
"2020.05.14","E",3.507,3.952
"2020.05.15","D",3.45,3.455
"2020.05.15","E",3.697,3.791
"2020.05.16","D",3.444,3.448
"2020.05.16","E",3.64,3.773
"2020.05.17","D",3.444,3.448
"2020.05.17","E",3.64,3.773
"2020.05.18","D",3.444,3.448
"2020.05.18","E",3.64,3.773
"2020.05.19","D",3.419,3.424
"2020.05.19","E",3.676,3.855
"2020.05.20","D",3.425,3.43
"2020.05.20","E",3.6,3.96
"2020.05.21","D",3.404,3.41
"2020.05.21","E",3.716,3.84
"2020.05.22","D",3.402,3.406
"2020.05.22","E",3.698,3.857
"2020.05.23","D",3.424,3.429
"2020.05.23","E",3.69,3.95
"2020.05.24","D",3.424,3.429
"2020.05.24","E",3.69,3.95
"2020.05.25","D",3.424,3.429
"2020.05.25","E",3.69,3.95
"2020.05.26","D",3.425,3.429
"2020.05.26","E",3.691,3.888
"2020.05.27","D",3.421,3.426
"2020.05.27","E",3.73,3.836
"2020.05.28","D",3.448,3.453
"2020.05.28","E",3.763,3.978
"2020.05.29","D",3.439,3.444
"2020.05.29","E",3.675,3.931
"2020.05.30","D",3.429,3.434
"2020.05.30","E",3.675,3.931
"2020.05.31","D",3.429,3.434
"2020.05.31","E",3.675,3.931
"2020.06.01","D",3.429,3.434
"2020.06.01","E",3.675,3.931
"2020.06.02","D",3.421,3.422
"2020.06.02","E",3.763,4.334
"2020.06.03","D",3.402,3.404
"2020.06.03","E",3.699,4.11
"2020.06.04","D",3.389,3.391
"2020.06.04","E",3.792,3.859
"2020.06.05","D",3.421,3.422
"2020.06.05","E",3.855,3.975
"2020.06.06","D",3.426,3.43
"2020.06.06","E",3.82,3.989
"2020.06.07","D",3.426,3.43
"2020.06.07","E",3.82,3.989
"2020.06.08","D",3.426,3.43
"2020.06.08","E",3.82,3.989
"2020.06.09","D",3.438,3.441
"2020.06.09","E",3.766,3.978
"2020.06.10","D",3.447,3.448
"2020.06.10","E",3.848,3.978
"2020.06.11","D",3.435,3.437
"2020.06.11","E",3.886,3.936
"2020.06.12","D",3.45,3.452
"2020.06.12","E",3.823,4.01
"2020.06.13","D",3.46,3.464
"2020.06.13","E",3.888,3.949
"2020.06.14","D",3.46,3.464
"2020.06.14","E",3.888,3.949
"2020.06.15","D",3.46,3.464
"2020.06.15","E",3.888,3.949
"2020.06.16","D",3.48,3.485
"2020.06.16","E",3.826,4.337
"2020.06.17","D",3.473,3.477
"2020.06.17","E",3.927,4.049
"2020.06.18","D",3.491,3.493
"2020.06.18","E",3.897,4.054
"2020.06.19","D",3.506,3.511
"2020.06.19","E",3.916,4.063
"2020.06.20","D",3.51,3.513
"2020.06.20","E",3.851,4.045
"2020.06.21","D",3.51,3.513
"2020.06.21","E",3.851,4.045
"2020.06.22","D",3.51,3.513
"2020.06.22","E",3.851,4.045
"2020.06.23","D",3.493,3.496
"2020.06.23","E",3.876,4.023
"2020.06.24","D",3.513,3.518
"2020.06.24","E",3.951,4.05
"2020.06.25","D",3.524,3.529
"2020.06.25","E",3.96,4.013
"2020.06.26","D",3.509,3.513
"2020.06.26","E",3.925,4.02
"2020.06.27","D",3.516,3.522
"2020.06.27","E",3.877,4.024
"2020.06.28","D",3.516,3.522
"2020.06.28","E",3.877,4.024
"2020.06.29","D",3.516,3.522
"2020.06.29","E",3.877,4.024
"2020.06.30","D",3.516,3.522
"2020.06.30","E",3.877,4.024
"2020.07.01","D",3.534,3.541
"2020.07.01","E",3.913,4.139
"2020.07.02","D",3.533,3.537
"2020.07.02","E",3.897,4.067
"2020.07.03","D",3.515,3.519
"2020.07.03","E",3.812,4.075
"2020.07.04","D",3.525,3.528
"2020.07.04","E",3.888,4.059
"2020.07.05","D",3.525,3.528
"2020.07.05","E",3.888,4.059
